PBI,Excel,Lookup,Comments,Lookup
40153412,29417707,29417707,,40153412
40153414,40139058,40139058,,40153414
40153415,40152685,40152685,,40153415
40153417,29182937,29182937,,40153417
40153418,29375196,29375196,,40153418
40153455,40152576,40152576,,40153455
40153474,40151212,40151212,,#N/A
40153591,40153411,40153411,,40153591
40153627,29235491,29235491,,40153627
40153642,29253069,29253069,,40153642
40153656,29957623,29957623,,40153656
40153688,40150074,40150074,,40153688
40153739,40150077,40150077,,40153739
40153740,40152076,40152076,,40153740
40153742,40140658,40140658,,40153742
40153744,40140659,40140659,,40153744
40153745,40149690,40149690,,40153745
40153746,40149802,40149802,,40153746
40153749,40151616,40151616,,40153749
40153751,40151864,40151864,,40153751
40153789,40151950,40151950,,40153789
40153805,40152580,40152580,,40153805
40153826,40152582,40152582,,40153826
40153827,40152618,40152618,,40153827
40153830,40027270,40027270,,40153830
40153831,40140470,40140470,,40153831
40153836,40153303,40153303,,40153836
40153881,40153304,40153304,,40153881
40153882,40153305,40153305,,40153882
40153909,40153306,40153306,,40153909
40153952,40153307,40153307,,40153952
40153958,29679896,29679896,,#N/A
40154029,29956596,29956596,,40154029
40154058,29988357,29988357,,#N/A
40154059,29579257,29579257,,40154059
40154175,40152082,40152082,,40154175
40154177,40153222,40153222,,40154177
40154189,40153223,40153223,,40154189
40154192,40153405,40153405,,40154192
40154271,40137438,40137438,,40154271
40154299,40152159,40152159,,40154299
40154322,29192945,29192945,,40154322
40154344,29214101,29214101,,40154344
40154347,29558815,29558815,,40154347
40154350,40071101,40071101,,40154350
40154573,40153346,40153346,,40154573
40154630,40153740,40153740,,40154630
40154655,29756118,29756118,,40154655
40154667,40061092,40061092,,40154667
40154669,40153043,40153043,,40154669
40154696,40153742,40153742,,40154696
40154699,40153751,40153751,,40154699
40154736,40124252,40124252,,40154736
40154910,40151895,40151895,,#N/A
29149167,29984451,#N/A,POC not present in Comm BI,29149167
29166798,29198045,29198045,,#N/A
29171183,29254708,29254708,,#N/A
29179548,29291839,29291839,,29179548
29182133,40149447,40149447,,29182133
29182134,40153010,40153010,,#N/A
29182937,29979380,29979380,,29182937
29185145,40153330,40153330,,29185145
29192637,40148682,40148682,,29192637
29192945,40152114,40152114,,29192945
29192979,40153041,40153041,,29192979
29194066,29627267,29627267,,29194066
29195560,40152559,40152559,,29195560
29205328,40152696,40152696,,29205328
29206287,40153229,40153229,,29206287
29210831,40153350,40153350,,#N/A
29210832,29233694,29233694,,29210832
29214397,29775736,29775736,,29214397
29216991,40151074,40151074,,29216991
29217334,40153414,40153414,,#N/A
29223519,40153789,40153789,,#N/A
29224938,40153805,40153805,,29224938
29225076,29456897,29456897,,29225076
29225523,29780933,29780933,,#N/A
29225855,40152667,40152667,,#N/A
29226367,40153056,40153056,,29226367
29232720,40153057,40153057,,29232720
29235491,40153058,40153058,,29235491
29240213,40153059,40153059,,#N/A
29240467,40153062,40153062,,#N/A
29240516,29192972,29192972,,29240516
29240957,29194066,29194066,,29240957
29243776,29479086,29479086,,29243776
29250783,29579395,29579395,,29250783
29253069,40153015,40153015,,29253069
29254003,40153397,40153397,,29254003
29254283,40153415,40153415,,#N/A
29254359,40153417,40153417,,29254359
29256091,40153418,40153418,,29256091
29256562,40153739,40153739,,29256562
29258410,40153746,40153746,,29258410
29260347,29192637,29192637,,29260347
29262401,29447467,29447467,,29262401
29263255,29955420,29955420,,29263255
